Oyuncu,Mac,Gol,Asist,Yas,Dakika,xG,Gol/90,Asist/90,Sut/90,Isabetli_Sut/90,Gol/Sut_Orani
Jeremy Doku,182.0,22.0,32.0,0.0,10196.0,14.8,0.19,0.28,1.82,0.65,0.11
Nicolás Domínguez,247.0,15.0,15.0,0.0,16064.0,16.4,0.08,0.08,1.32,0.4,0.06
Odsonne Édouard,244.0,89.0,28.0,0.0,14055.0,21.5,0.57,0.18,3.12,1.39,0.15
Marcus Edwards,199.0,35.0,23.0,0.0,12130.0,31.1,0.26,0.17,2.08,0.71,0.11
Hugo Bueno,76.0,0.0,4.0,0.0,4059.0,1.1,0.0,0.09,0.49,0.07,0.0
Romain Esse,69.0,7.0,2.0,0.0,3098.0,4.3,0.2,0.06,1.51,0.46,0.13
Evanilson,149.0,52.0,13.0,0.0,9808.0,57.3,0.48,0.12,2.67,1.12,0.17
Eberechi Eze,284.0,63.0,36.0,0.0,20831.0,49.8,0.27,0.16,2.23,0.86,0.11
Mateus Fernandes,84.0,4.0,8.0,0.0,6346.0,5.2,0.06,0.11,0.99,0.31,0.06
Zian Flemming,275.0,84.0,26.0,0.0,20454.0,54.0,0.37,0.11,2.82,1.18,0.12
Lyle Foster,153.0,24.0,17.0,0.0,9090.0,21.2,0.24,0.17,2.2,0.83,0.11
Niclas Füllkrug,340.0,111.0,39.0,0.0,21314.0,51.2,0.47,0.16,2.76,1.14,0.15
Cody Gakpo,238.0,82.0,56.0,0.0,14595.0,54.9,0.51,0.35,2.75,1.11,0.16
Benoît Badiashile,144.0,7.0,2.0,0.0,11453.0,7.4,0.06,0.02,0.56,0.15,0.1
Alejandro Garnacho,102.0,17.0,10.0,0.0,5840.0,19.7,0.26,0.15,3.38,1.06,0.08
Tyrique George,12.0,1.0,1.0,0.0,328.0,0.5,0.27,0.27,1.65,0.82,0.17
Morgan Gibbs-White,229.0,33.0,38.0,0.0,15218.0,37.2,0.2,0.22,2.0,0.62,0.09
Jamie Gittens,87.0,12.0,10.0,0.0,3905.0,9.3,0.28,0.23,2.95,1.13,0.09
Wilfried Gnonto,175.0,29.0,17.0,0.0,7878.0,15.6,0.33,0.19,2.57,0.93,0.13
Rodrigo Bentancur,282.0,12.0,26.0,0.0,18115.0,10.3,0.06,0.13,0.92,0.22,0.07
Diego Coppola,84.0,4.0,0.0,0.0,6005.0,2.4,0.06,0.0,0.4,0.1,0.15
Jack Grealish,330.0,48.0,51.0,0.0,23224.0,30.8,0.19,0.2,1.8,0.6,0.11
Brajan Gruda,61.0,6.0,8.0,0.0,2640.0,6.2,0.2,0.27,1.74,0.72,0.12
Evann Guessand,165.0,29.0,18.0,0.0,8555.0,23.0,0.31,0.19,2.32,1.07,0.12
Luis Guilherme,41.0,0.0,1.0,0.0,1034.0,1.6,0.0,0.09,2.18,0.35,0.0
Marco Bizot,386.0,0.0,1.0,0.0,34423.0,0.0,0.0,0.0,0.0,0.0,0.0
Viktor Gyökeres,263.0,133.0,41.0,0.0,19424.0,99.0,0.62,0.19,3.19,1.43,0.17
Kai Havertz,270.0,77.0,38.0,0.0,19383.0,72.5,0.36,0.18,2.27,0.98,0.15
Hwang Hee-chan,243.0,53.0,24.0,0.0,12779.0,18.6,0.37,0.17,2.02,0.98,0.18
Callum Hudson-Odoi,160.0,18.0,15.0,0.0,8648.0,12.5,0.19,0.16,1.68,0.66,0.11
Omari Hutchinson,86.0,13.0,8.0,0.0,5190.0,9.1,0.23,0.14,2.12,0.9,0.11
Alexander Isak,244.0,111.0,22.0,0.0,16229.0,97.3,0.62,0.12,2.68,1.39,0.19
Wilson Isidor,115.0,35.0,4.0,0.0,6771.0,18.9,0.47,0.05,2.9,1.24,0.15
Daniel Ballard,152.0,10.0,2.0,0.0,12388.0,10.6,0.07,0.01,0.76,0.25,0.1
Igor,189.0,0.0,1.0,0.0,13986.0,1.8,0.0,0.01,0.22,0.03,0.0
Álex Jiménez,37.0,0.0,1.0,0.0,1999.0,1.1,0.0,0.05,0.95,0.27,0.0
Raúl Jiménez,386.0,109.0,40.0,0.0,24183.0,62.6,0.41,0.15,2.79,1.12,0.12
João Gomes,154.0,6.0,4.0,0.0,10760.0,7.8,0.05,0.03,0.88,0.22,0.06
Brennan Johnson,209.0,52.0,32.0,0.0,15308.0,43.5,0.31,0.19,2.0,0.79,0.14
Eli Junior Kroupi,72.0,31.0,5.0,0.0,3421.0,6.1,0.82,0.13,3.21,1.53,0.21
Ferdi Kadioglu,228.0,23.0,25.0,0.0,15492.0,0.9,0.13,0.15,0.67,0.41,0.2
Sasa Kalajdzic,115.0,36.0,16.0,0.0,6334.0,18.9,0.51,0.23,2.84,1.18,0.18
Arnaud Kalimuendo,163.0,53.0,10.0,0.0,10101.0,46.7,0.47,0.09,2.38,1.06,0.16
Mohamadou Kanté,7.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,3.7,1.23,0.0
